City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,tegal,-6.8694,109.1402,25.99,82,76,1.61,ID,1741200571
176,pittsburg,38.028,-121.8847,13.58,78,100,3.09,US,1741200279
177,bereznik,62.8551,42.7072,-1.04,95,100,4.21,RU,1741200574
178,hammerfest,70.6634,23.6821,-2.75,80,40,1.54,NO,1741200575
179,rock springs,41.5875,-109.2029,3.91,57,100,5.14,US,1741200576
180,kingston,17.997,-76.7936,31.2,62,75,3.6,JM,1741200567
181,soligalich,59.0778,42.2864,-1.58,93,100,4.66,RU,1741200578
182,usinsk,65.9939,57.5281,-12.33,92,100,3.82,RU,1741200581
183,mount gambier,-37.8333,140.7667,15.44,68,98,5.95,AU,1741200582
184,rio branco,-9.9747,-67.81,31.34,62,40,1.03,BR,1741200583
185,broken hill,-31.95,141.4333,21.31,39,0,4.65,AU,1741200584
186,uzda,53.4627,27.2137,9.42,43,100,9.14,BY,1741200585
187,gadzhiyevo,69.2551,33.3362,-4.02,95,100,1.53,RU,1741200586
188,lorengau,-2.0226,147.2712,27.94,70,91,6.15,PG,1741200588
189,khagrachhari,23.1,91.9667,17.76,62,0,0.71,BD,1741200589
190,weno,7.4515,151.8468,26.97,89,75,6.17,FM,1741200590
191,narrabri,-30.3167,149.7833,20.85,77,0,1.79,AU,1741200591
192,heyuan,23.7333,114.6833,10.88,86,97,3.4,CN,1741200593
193,ketchikan,55.3422,-131.6461,6.99,91,100,7.2,US,1741200594
194,sejenane,37.0572,9.2381,11.56,86,37,8.45,TN,1741200595
195,namtsy,62.7161,129.6658,-33.87,99,97,1.83,RU,1741200596
196,plastun,44.7561,136.2939,-5.19,70,100,1.3,RU,1741200597
197,kapa'a,22.0752,-159.319,25.18,83,75,7.2,US,1741200598
198,zouerate,22.7187,-12.4521,21.51,31,100,2.32,MR,1741200600
199,yoro,15.1333,-87.1333,30.29,51,40,3.09,HN,1741200601
200,parabel',58.6978,81.4825,-10.58,95,100,3.21,RU,1741200602
201,qamdo,31.1667,97.2333,-1.53,56,100,1.54,CN,1741200603
202,richards bay,-28.783,32.0377,25.18,79,5,4.2,ZA,1741200604
203,anadyr,64.75,177.4833,-26.72,76,0,3.0,RU,1741200605
204,boende,-0.2167,20.8667,23.62,85,60,1.27,CD,1741200607
205,arno,60.1167,18.6333,7.09,87,100,6.44,SE,1741200608
206,uturoa,-16.7333,-151.4333,28.0,75,32,5.38,PF,1741200609
207,afaahiti,-17.75,-149.2833,26.44,79,47,6.22,PF,1741200610
208,shumikha,55.2261,63.2961,-10.96,97,100,3.56,RU,1741200611
